"version","championKey","championNameZh","championNameEn","slot","skillNameZh","skillNameEn","skillId","skillType","resourceType","hasAmmo","damageType","effectTags","controlTags"
"16.3.1","Aatrox","Aatrox","Aatrox","P","Deathbringer Stance","Deathbringer Stance","Aatrox_Passive.png","被动","无","否","魔法","伤害 | 治疗/回复","无"
"16.3.1","Aatrox","Aatrox","Aatrox","Q","The Darkin Blade","The Darkin Blade","AatroxQ","主动","No Cost","否","物理","二段/形态切换 | 控制 | 伤害","击飞"
"16.3.1","Aatrox","Aatrox","Aatrox","W","Infernal Chains","Infernal Chains","AatroxW","主动","No Cost","否","物理","控制 | 伤害","减速"
"16.3.1","Aatrox","Aatrox","Aatrox","E","Umbral Dash","Umbral Dash","AatroxE","主动","No Cost","否","无/未标注","伤害 | 位移 | 治疗/回复","无"
"16.3.1","Aatrox","Aatrox","Aatrox","R","World Ender","World Ender","AatroxR","主动","No Cost","否","无/未标注","控制 | 伤害 | 治疗/回复 | 自我增益","恐惧"
"16.3.1","Ahri","Ahri","Ahri","P","Essence Theft","Essence Theft","Ahri_SoulEater2.png","被动","无","否","无/未标注","治疗/回复","无"
"16.3.1","Ahri","Ahri","Ahri","Q","Orb of Deception","Orb of Deception","AhriQ","主动","{{ abilityresourcename }}","否","混合(魔法+真实)","伤害","无"
"16.3.1","Ahri","Ahri","Ahri","W","Fox-Fire","Fox-Fire","AhriW","主动","{{ abilityresourcename }}","否","魔法","敌方减益 | 伤害 | 自我增益","无"
"16.3.1","Ahri","Ahri","Ahri","E","Charm","Charm","AhriE","主动","{{ abilityresourcename }}","否","魔法","控制 | 伤害","魅惑"
"16.3.1","Ahri","Ahri","Ahri","R","Spirit Rush","Spirit Rush","AhriR","主动","{{ abilityresourcename }}","否","魔法","二段/形态切换 | 伤害 | 位移 | 自我增益","无"
"16.3.1","Akali","Akali","Akali","P","Assassin's Mark","Assassin's Mark","Akali_P.png","被动","无","否","无/未标注","伤害 | 召唤/部署 | 资源交互 | 自我增益","无"
"16.3.1","Akali","Akali","Akali","Q","Five Point Strike","Five Point Strike","AkaliQ","主动","{{ abilityresourcename }}","否","魔法","控制 | 伤害","减速"
"16.3.1","Akali","Akali","Akali","W","Twilight Shroud","Twilight Shroud","AkaliW","主动","Energy","否","无/未标注","隐身/伪装 | 资源交互 | 自我增益","无"
"16.3.1","Akali","Akali","Akali","E","Shuriken Flip","Shuriken Flip","AkaliE","主动","{{ abilityresourcename }}","否","魔法","二段/形态切换 | 伤害 | 位移","无"
"16.3.1","Akali","Akali","Akali","R","Perfect Execution","Perfect Execution","AkaliR","主动","No Cost","否","魔法","二段/形态切换 | 伤害 | 位移 | 斩杀/缺失生命值联动 | 治疗/回复","无"
"16.3.1","Akshan","Akshan","Akshan","P","Dirty Fighting","Dirty Fighting","akshan_p.png","被动","无","否","无/未标注","敌方减益 | 护盾 | 伤害 | 自我增益","无"
"16.3.1","Akshan","Akshan","Akshan","Q","Avengerang","Avengerang","AkshanQ","主动","{{ abilityresourcename }}","否","物理","伤害","无"
"16.3.1","Akshan","Akshan","Akshan","W","Going Rogue","Going Rogue","AkshanW","主动","{{ abilityresourcename }}","否","无/未标注","复活/免死相关 | 隐身/伪装 | 资源交互 | 自我增益","无"
"16.3.1","Akshan","Akshan","Akshan","E","Heroic Swing","Heroic Swing","AkshanE","主动","{{ abilityresourcename }}","否","物理","二段/形态切换 | 伤害 | 位移","无"
"16.3.1","Akshan","Akshan","Akshan","R","Comeuppance","Comeuppance","AkshanR","主动","{{ abilityresourcename }}","否","物理","二段/形态切换 | 伤害 | 斩杀/缺失生命值联动 | 治疗/回复","无"
